"class";"key";"id";"urg";"leg";"pow"
"low.low.low";4;4;0;1;0
"low.low.low";11;11;0;14;0
"low.low.low";13;13;0;12;0
"low.low.low";16;16;0;4;0
"low.low.low";19;19;0;1;1
"low.low.low";23;23;0;3;0
"low.low.low";24;24;0;12;0
"low.low.low";27;27;0;0;0.75
"low.low.low";29;29;0;1;1
"low.low.low";35;35;0;1;1
"low.low.low";42;42;0;5;0
"low.low.low";44;44;0;1;0
"low.low.low";45;45;0;1;0
"low.low.low";47;47;0;1;0
"low.low.low";53;53;0;0;0.75
"low.low.low";63;63;0;0;1
"low.low.low";70;70;0;2;0
"low.low.low";72;72;0;5;1
"low.low.low";74;74;0;1;0
"low.low.low";81;81;0;0;0.75
"low.low.low";84;84;0;4;0
"low.low.low";87;87;0;15;0
"low.low.low";90;90;0;0;0.75
"low.low.low";98;98;0;9;0
"low.low.low";101;101;0;3;0
"low.low.low";104;104;0;15;1
"low.low.low";106;106;0;2;0
"low.low.low";108;108;0;2;0
"low.low.low";109;109;0;2;0
"low.low.low";110;110;0;3;0
"low.low.low";128;128;0;15;1
"low.low.low";130;130;0;0;1
"low.low.low";131;131;3;13;0
"low.low.low";132;132;0;0;1
"low.low.low";136;136;0;0;0.75
"low.low.low";139;139;0;2;0
"low.low.low";140;140;0;4;0
"low.low.high";3;3;7;3;27
"low.low.high";64;64;0;5;18
"low.low.high";78;78;0;14;22.5
"low.low.high";83;83;0;0;46.6875
"low.low.high";88;88;0;0;42
"low.low.high";89;89;0;0;46.6875
"low.low.high";102;102;0;0;40.25
"low.low.high";122;122;0;13;27
"low.low.high";126;126;0;0;18
"low.low.high";129;129;0;0;9.5
"low.high.low";6;6;0;33;0
"low.high.low";9;9;6;16;0
"low.high.low";18;18;0;17;0
"low.high.low";39;39;0;37;0
"low.high.low";46;46;0;32;1
"low.high.low";66;66;0;63;0
"low.high.low";77;77;3;35;0
"low.high.low";92;92;0;16;1
"low.high.low";94;94;0;32;0
"low.high.low";111;111;0;16;0
"low.high.low";120;120;7;33;0
"low.high.low";127;127;0;32;0
"low.high.low";138;138;0;51;0
"low.high.high";2;2;6;35;21
"low.high.high";22;22;7;35;25.5
"low.high.high";37;37;0;66;36.5
"low.high.high";38;38;0;23;21
"low.high.high";51;51;0;37;47.25
"low.high.high";56;56;0;34;48.33333333
"low.high.high";61;61;0;63;47.125
"low.high.high";65;65;0;82;24.75
"low.high.high";93;93;0;137;49.15
"low.high.high";96;96;0;34;15.16666667
"low.high.high";105;105;0;65;48.975
"low.high.high";107;107;0;67;33.5
"low.high.high";114;114;0;55;30.25
"low.high.high";141;141;0;64;46.9375
"low.high.high";144;144;7;28;34.625
"high.low.low";7;7;25;1;0
"high.low.low";26;26;42;2;0
"high.low.low";32;32;42;10;0
"high.low.low";43;43;14;0;0
"high.low.low";48;48;28;1;0
"high.low.low";54;54;27;4;0
"high.low.low";57;57;13;1;0
"high.low.low";58;58;18;15;0
"high.low.low";68;68;39;0;0
"high.low.low";69;69;18;15;0.75
"high.low.low";76;76;32;1;0
"high.low.low";85;85;60;15;1
"high.low.low";91;91;25;12;0
"high.low.low";95;95;14;1;0
"high.low.low";99;99;48;14;0
"high.low.low";116;116;25;3;0
"high.low.low";118;118;10;10;0
"high.low.low";124;124;20;2;0
"high.low.low";137;137;34;1;0
"high.low.high";14;14;42;0;18
"high.low.high";31;31;42;7;27
"high.low.high";36;36;13;10;44.5625
"high.low.high";75;75;52;7;33.5
"high.low.high";119;119;21;4;33.5
"high.low.high";142;142;50;11;18
"high.high.low";17;17;47;93;0
"high.high.low";21;21;22;36;1
"high.high.low";33;33;40;16;0
"high.high.low";41;41;34;102;0
"high.high.low";67;67;26;35;0
"high.high.low";73;73;20;39;0
"high.high.low";79;79;51;85;0
"high.high.low";100;100;28;61;0
"high.high.low";112;112;21;49;0
"high.high.low";113;113;35;34;1
"high.high.low";123;123;72;90;0
"high.high.low";125;125;27;34;0
"high.high.low";133;133;21;96;0
"high.high.high";1;1;8;31;24.75
"high.high.high";5;5;36;36;25.5
"high.high.high";8;8;27;31;38.5
"high.high.high";10;10;20;36;25.5
"high.high.high";12;12;20;20;44.5625
"high.high.high";15;15;33;31;35.75
"high.high.high";20;20;35;31;25.5
"high.high.high";25;25;10;100;46.5
"high.high.high";28;28;48;41;44
"high.high.high";30;30;42;43;35
"high.high.high";34;34;47;34;35
"high.high.high";40;40;13;76;24.75
"high.high.high";49;49;17;26;34.625
"high.high.high";50;50;50;140;47.5
"high.high.high";52;52;19;110;49.325
"high.high.high";55;55;48;41;18
"high.high.high";59;59;10;73;36.5
"high.high.high";60;60;38;74;45.5
"high.high.high";62;62;42;35;18
"high.high.high";71;71;15;43;36.5
"high.high.high";80;80;43;166;48.56666667
"high.high.high";82;82;9;101;47.375
"high.high.high";86;86;33;251;49.5
"high.high.high";97;97;25;112;42
"high.high.high";103;103;30;88;46.9375
"high.high.high";115;115;48;97;48.8
"high.high.high";117;117;11;66;42
"high.high.high";121;121;33;67;40.25
"high.high.high";134;134;14;33;15.16666667
"high.high.high";135;135;31;33;24.75
"high.high.high";143;143;63;53;45.125
